ch02_094|emission|ɪˈmɪʃ(ə)n|n. 排放，散发；排放物，散发物|This conference aims to reduce carbon emissions or greenhouse gas emissions around the world.
ch02_095|circulation|ˌsɜːkjəˈleɪʃn|n. 流通；循环；流传|Sea surface temperatures and atmospheric circulation are strongly coupled.
ch02_096|exceed|ɪkˈsiːd|v. 超过|The driver exceeds the speed limit.
ch02_097|uptake|ˈʌpteɪk|n. 摄取；领会|The doctor advised me to reduce the salt uptake.
ch02_098|nutrient|ˈnjuːtriənt|n. 营养物质|The nutrient in the soil acts as a stimulus to growth in plants.
ch02_099|surroundings|səˈraʊndɪŋz|n. 环境|The adaptability of the youth to new surroundings is one of their good qualities.
ch02_100|mechanism|ˈmekənɪzəm|n. 机制；构造|Bones and muscles are parts of the mechanism of the body.
ch02_101|counterbalance|ˈkaʊntəbæləns|n.起平衡作用的事物；抗衡力 v.抵消；对……起平衡作用|Their strength in defence counterbalances our strength in attack.
ch02_102|protect|prəˈtekt|v. 保护|We have to do what it takes to protect our parks and protect our planet for generations to come.
ch02_103|preserve|prɪˈzɜːv|v. 保护；维持（原状）；保存|It is the duty of the police to preserve public order.
ch02_104|conservation|ˌkɒnsəˈveɪʃ(ə)n|n.（对自然环境的）保护；保存|Some accommodation between conservation and tourism is essential.
ch02_105|bush fire|ˈbʊʃ faɪə(r)|n. 林区大火|The friendly fallow deer were trapped by abush fire.
ch02_106|extinguish|ɪkˈstɪŋɡwɪʃ|v. 扑灭（火）；使（想法、感情等）破灭|They tried every means to extinguish the fire.
ch02_107|destruct|dɪˈstrʌkt|v.（使）自毁|The tape would self-destruct in twenty minutes.
ch02_108|ruin|ˈruːɪn|v. 毁坏，摧毁 n. 毁灭；废墟|The storm ruined the crops.
ch02_109|perish|ˈperɪʃ|v. 毁灭，消亡；腐烂|Flowers perish when frost comes.
ch02_110|demolish|dɪˈmɒlɪʃ|v. 拆除；毁坏，破坏；推翻|The fire demolished the town.
ch02_111|infringe|ɪnˈfrɪndʒ|v. 侵犯；违反|The press infringed a copyright agreement.
ch02_112|undermine|ˌʌndəˈmaɪn|v. 破坏；逐渐削弱|The constant criticism was beginning to undermine her confidence.
ch02_113|extinction|ɪkˈstɪŋkʃn|n. 灭绝|By 2050, a quarter of the earth’s species could be threatened with extinction.
ch02_114|pattern|ˈpæt(ə)n|n. 模式；式样；底样|Training and education follow different patterns in different regions.
ch02_115|outcome|ˈaʊtkʌm|n. 结果|We are anxiously awaiting the outcome of their discussion.
ch02_116|impact|ˈɪmpækt|n. 影响|We are a flash in time, but our impact is forever.
ch02_117|seasonal|ˈsiːzən(ə)l|adj. 季节性的|The greatest seasonal change on our planet is now under way.
ch02_118|experimental|ɪkˌsperɪˈment(ə)l|adj. 实验的；试验性的|There is no cure or vaccine, but some patients have been given experimental treatments.
ch02_119|favourable|ˈfeɪvərəb(ə)l|adj. 有利的；赞成的，肯定的|It’s encouraging to receive a favourable report on one’s study.
ch02_120|productive|prəˈdʌktɪv|adj. 多产的|Once the plants have produced fruit, they become less productive.
ch02_121|effective|ɪˈfektɪv|adj. 有效的|These are effective measures.
ch02_122|efficient|ɪˈfɪʃ(ə)nt|adj. 效率高的|This new copy machine is more efficient than the old one.
ch02_123|considerable|kənˈsɪdərəb(ə)l|adj. 相当多的|It is a considerable sum of money.
ch02_124|massive|ˈmæsɪv|adj. 巨大的，大规模的，庞大的|There are massive mineral resources in the west part of China.
ch02_125|immense|ɪˈmens|adj. 巨大的|They plunged into their work with immense zeal.
ch02_126|maximal|ˈmæksɪml|adj. 最大的|She obtained maximal benefit from the course.
ch02_127|minimal|ˈmɪnɪml|adj. 最小的，极小的|I stayed with friends, so my expenses were minimal.
ch02_128|optimal|ˈɒptɪməl|adj. 最佳的，最理想的|This is the optimal season for the growth of plants.
ch02_129|root|ruːt|n.根 v.（使）生根|The dog is snuffling around the root of a tree.
ch02_130|absorb|əbˈsɔːb|V. 吸收；眼引全部注意力|Dry sand absorbs water.
